model,nb_users,agent_id,run_id,percent
qwen3:14b,100,11,6,100
ministral-3:14b,75,33,0,0
ministral-3:14b,100,74,0,0
gemma3:12b,100,49,8,0
gemma3:12b,25,9,6,0
qwen3:14b,100,97,9,100
gemma3:12b,25,3,1,0
gemma3:12b,75,30,9,0
gemma3:12b,50,28,2,0
gemma3:12b,50,44,9,100
qwen3:14b,100,54,0,0
ministral-3:14b,100,78,6,0
ministral-3:14b,50,26,3,0
ministral-3:14b,100,42,4,0
ministral-3:14b,25,1,8,0
ministral-3:14b,50,28,7,100
ministral-3:14b,10,6,6,100
gemma3:12b,50,3,6,0
ministral-3:14b,75,17,1,0
ministral-3:14b,75,7,7,100
ministral-3:14b,100,92,9,100
qwen3:14b,75,74,9,0
qwen3:14b,75,44,6,0
ministral-3:14b,75,21,0,0
ministral-3:14b,100,22,0,0
qwen3:14b,50,44,9,100
qwen3:14b,75,56,6,0
ministral-3:14b,100,53,2,0
gemma3:12b,75,41,0,0
qwen3:14b,50,11,1,100
ministral-3:14b,75,67,1,0
ministral-3:14b,50,37,3,0
ministral-3:14b,25,19,5,0
qwen3:14b,75,28,1,0
qwen3:14b,75,72,4,0
gemma3:12b,75,20,7,0
qwen3:14b,75,61,3,100
ministral-3:14b,75,72,4,100
qwen3:14b,100,0,7,100
qwen3:14b,50,25,1,0
gemma3:12b,75,68,9,0
gemma3:12b,75,14,4,0
gemma3:12b,50,2,3,0
gemma3:12b,10,4,8,0
qwen3:14b,100,92,7,100
qwen3:14b,75,10,0,100
ministral-3:14b,75,23,8,0
gemma3:12b,50,38,0,0
ministral-3:14b,75,57,2,0
gemma3:12b,50,9,3,100
gemma3:12b,75,47,6,0
gemma3:12b,50,11,5,0
ministral-3:14b,100,45,9,0
qwen3:14b,75,39,2,0
qwen3:14b,100,76,8,100
ministral-3:14b,50,43,0,0
gemma3:12b,100,74,7,0
ministral-3:14b,75,1,3,0
qwen3:14b,75,20,3,0
ministral-3:14b,100,66,3,0
ministral-3:14b,100,29,3,0
ministral-3:14b,100,83,0,0
ministral-3:14b,100,72,8,0
qwen3:14b,50,17,6,100
ministral-3:14b,100,33,4,0
gemma3:12b,50,0,7,0
qwen3:14b,75,40,9,0
ministral-3:14b,100,73,3,0
qwen3:14b,100,80,4,100
gemma3:12b,100,46,1,0
gemma3:12b,75,36,5,0
gemma3:12b,100,84,6,100
gemma3:12b,100,29,0,100
ministral-3:14b,50,49,9,100
gemma3:12b,100,38,6,0
ministral-3:14b,100,84,2,0
gemma3:12b,100,83,2,0
gemma3:12b,50,27,4,0
ministral-3:14b,100,86,2,0
